127.0.0.1 - - [25/Sep/2023:11:24:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:24:43 +0530] "GET /OnlineShoppingSystem/index1.jsp HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:24:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:24:49 +0530] "GET /OnlineShoppingSystem/customerlogin.jsp? HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:24:56 +0530] "POST /OnlineShoppingSystem/checkCustomer HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:24:58 +0530] "GET /OnlineShoppingSystem/showCart? HTTP/1.1" 200 4636
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:25:02 +0530] "POST /OnlineShoppingSystem/wallet.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:25:10 +0530] "GET /OnlineShoppingSystem/showCart? HTTP/1.1" 200 4636
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:34:24 +0530] "GET /OnlineShoppingSystem/showCart? HTTP/1.1" 200 4636
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:34:25 +0530] "POST /OnlineShoppingSystem/wallet.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:34:38 +0530] "POST /OnlineShoppingSystem/wallet.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [25/Sep/2023:11:34:49 +0530] "POST /OnlineShoppingSystem/wallet.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [25/Sep/2023:12:11:21 +0530] "POST /OnlineShoppingSystem/wallet.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [25/Sep/2023:12:15:59 +0530] "POST /OnlineShoppingSystem/wallet.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [25/Sep/2023:12:18:15 +0530] "POST /OnlineShoppingSystem/wallet.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [25/Sep/2023:12:18:20 +0530] "POST /OnlineShoppingSystem/wallet.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [25/Sep/2023:12:33:50 +0530] "GET /OnlineShoppingSystem/showCart? HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [25/Sep/2023:12:33:52 +0530] "GET /OnlineShoppingSystem/purchase? HTTP/1.1" 404 682
